customer_id,gender,distance,Other,Unknown,Work,arabic,breakfast,burgers,desserts,free delivery,grills,lebanese,salads,sandwiches,shawarma,cakes,crepes,italian,pasta,pizzas,soups,indian,fries,mexican,american,milkshakes,asian,healthy food,japanese,sushi,mojitos,mandazi,omani,manakeesh,kids meal,donuts,fresh juices,ice creams,pancakes,waffles,hot dogs,dimsum,rice,sweets,steaks,pizza,mishkak,biryani,thali,vegetarian,pastry,seafood,chinese,thai,coffee,organic,smoothies,karak,rolls,hot chocolate,pastas,combos,bagels,churros,shuwa,frozen yoghurt,kushari,spanish latte,family meal,kebabs,cafe,fatayers
00HWUU3-1,1,0.006977938,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
00OT8JX-3,1,0.005305989,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
00OT8JX-4,1,0.004016881,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
010DVV3-0,0,0.002017105,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
018GT0H-2,0,0.003959434,0,0,1,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
019ILOE-0,1,0.000229547,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01BY7WQ-0,1,0.00131886,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01HG648-1,1,0.000676886,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01KX5Q8-0,0,0.004808447,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01PXZKF-0,0,0.00058144,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01RMLT7-1,1,0.000433603,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01UF9UR-1,0,0.007115242,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
01XQ398-0,1,0.005591221,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
0282DXQ-0,0,0.006862518,0,0,1,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
0282DXQ-1,0,0.003941143,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
02C0DWD-0,1,0.003686744,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
02QYVDI-0,0,0.003593985,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
02Y4HXJ-0,1,0.001015998,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
032TAZ0-0,0,0.000678228,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
036OYRE-0,1,0.006564702,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
03AADDM-0,1,0.006886386,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
03E01HL-2,1,0.000144477,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
0403E0I-1,1,0.004363375,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
043OOAD-0,0,0.006692633,0,0,1,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
045FUZC-1,0,0.006972389,0,0,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
046FK0C-1,1,0.0039426,0,0,1,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
0480B40-0,1,0.009742281,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
04AWPBE-2,1,0.009533724,0,1,0,11,24,40,44,24,11,4,33,42,11,4,3,4,16,8,14,10,20,3,27,11,4,5,2,1,13,1,3,1,15,4,17,10,3,3,5,1,8,3,4,1,2,6,1,1,1,1,1,2,5,1,7,1,2,3,1,1,1,1,1,1,1,1,1,3,7,1
